Vatten_ID,EU_CD,Station,Obspoint_ID,Longitude,Latitude,Date,Time,Institution,Depth,BenthicDiatomsIPS,BenthicDiatomsACID
WA64432104,SE741340-153576,Njalakjaure,Njalakjaure,,,2010-08-23,,SLU,,18.8,3.6
WA96539378,SE742442-153530,Båtkåjaure,Båtkåjaure,,,2010-08-23,,SLU,,19.1,4.2
,,Lilla Turingen,Lilla Turingen,,,2014-08-18,,SLU,,18.4,7.3
WA93805689,SE660085-162662,Vallentunasjön,Vallentunasjön,,,2017-08-09,,SLU,0.3,14.7,8.7
WA93805689,SE660085-162662,Vallentunasjön,Vallentunasjön,,,2018-08-16,,SLU,0.3,15,7.7
WA36357019,SE653600-162119,Fjättersjön,Fjättersjön,,,2017-08-10,,SLU,0.5,17.4,8.5
WA90764558,SE660802-159822,Lilla Ullfjärden,Lilla Ullfjärden,,,2017-08-17,,SLU,0.35,15.4,7.7
WA87815265,SE656310-160034,Måsnaren,Måsnaren,,,2017-08-10,,SLU,0.5,17.3,9.2
WA87815265,SE656310-160034,Måsnaren,Måsnaren,,,2018-08-14,,SLU,0.5,17.5,8.7
WA51030666,SE655819-159740,Välingen,Välingen,,,2017-08-10,,SLU,0.6,14.5,8.3
,,Mettä-Rakk.järvi,Mettä-Rakk.järvi,,,2018-08-30,,SLU,,15.6,7.4
,,Rakkurijärvi,Rakkurijärvi,,,2018-08-30,,SLU,,16.3,7.9
WA75581138,SE653769-152448,Forssjösjön SP1,Forssjösjön SP1,,,2013-08-22,,SLU,,19.5,6.9
WA90098285,SE659512-162070,Norrviken,Norrviken,,,2017-08-09,,SLU,0.25,15,7.1
WA96238459,SE660189-163937,Garnsviken,Garnsviken,,,2017-08-09,,SLU,0.4,14.6,9.2
WA48788326,SE658765-136954,Sundstadstjärn,Sundstadstjärn,,,2014-09-23,,SLU,0.3,18.4,5.4
WA48788326,SE658765-136954,Sundstadstjärn,Sundstadstjärn,,,2015-09-14,,SLU,0.3,18.8,6.6
WA48788326,SE658765-136954,Sundstadstjärn,Sundstadstjärn,,,2016-09-01,,SLU,0.3,11.1,8.6
WA48788326,SE658765-136954,Sundstadstjärn,Sundstadstjärn,,,2017-09-06,,SLU,0.2,18.6,7.7
WA48788326,SE658765-136954,Sundstadstjärn,Sundstadstjärn,,,2018-09-20,,SLU,0.2,18.6,8
WA54345610,SE662199-164238,Sparren,Sparren,,,2017-08-17,,SLU,0.2,14.2,7.2
,,Luossajärvi,Luossajärvi,,,2018-08-30,,SLU,,17,7.8
,,Ainasjärvi,Ainasjärvi,,,2011-08-08,,SLU,,18.8,7.9
,,"Luongasjärvi, bassäng 2","Luongasjärvi, bassäng 2",,,2013-08-06,,SLU,,19.3,7.8
,,"Luongasjärvi, bassäng 2","Luongasjärvi, bassäng 2",,,2014-08-21,,SLU,,19,7
,,Öran,Öran,,,2013-08-13,,SLU,,19.7,5.4
,,Öran,Öran,,,2014-08-13,,SLU,,19.8,5.7
WA27186406,SE656626-162801,"Orlången, Karlsborg V, profundal","Orlången, Karlsborg V, profundal",,,2017-08-16,,SLU,0.3,14.9,8.1
,,Naalojärvi,Naalojärvi,,,2015-09-15,,SLU,,18.4,7.6
,SE746329-170813,Välkommatjärn,Välkommatjärn,,,2015-09-15,,SLU,,19.1,3.3
,SE746329-170813,Välkommatjärn,Välkommatjärn,,,2018-09-07,,SLU,,19.8,2.7
,SE658388-137259,"Vänern - Hammarösjön, Tynäsudden","Vänern - Hammarösjön, Tynäsudden",,,2012-09-14,,SLU,,19.4,7.3
,SE658388-137259,"Vänern - Hammarösjön, Tynäsudden","Vänern - Hammarösjön, Tynäsudden",,,2015-09-15,,SLU,0.3,19.2,6.4
,,Bergsmannijärvi,Bergsmannijärvi,,,2011-08-07,,SLU,,19.2,7.4
,,Saltajärvi,Saltajärvi,,,2011-08-08,,SLU,,19.3,6.1
,,Sarvijärvi,Sarvijärvi,,,2011-08-07,,SLU,,18.6,7.1
WA48987947,SE654293-159359,Långsjön (Mölnbo),Långsjön (Mölnbo),,,2017-08-24,,SLU,0.5,14.5,9
WA48987947,SE654293-159359,Långsjön (Mölnbo),Långsjön (Mölnbo),,,2018-08-15,,SLU,0.5,14.9,8.2
,,Kåivujaure,Kåivujaure,,,2017-08-08,,SLU,0.5,18.8,8
WA81851113,SE670079-136828,Kårebolsjön,Kårebolsjön,,,2012-08-24,,SLU,,19.4,7.1
WA81851113,SE670079-136828,Kårebolsjön,Kårebolsjön,,,2013-08-30,,SLU,,19.6,7.2
WA81851113,SE670079-136828,Kårebolsjön,Kårebolsjön,,,2014-09-23,,SLU,0.2,19.5,6.7
WA81851113,SE670079-136828,Kårebolsjön,Kårebolsjön,,,2015-09-14,,SLU,0.2,19.7,6.5
WA81851113,SE670079-136828,Kårebolsjön,Kårebolsjön,,,2016-09-01,,SLU,0.2,19.8,6.3
WA81851113,SE670079-136828,Kårebolsjön,Kårebolsjön,,,2017-09-05,,SLU,0.4,19.5,6.1
WA81851113,SE670079-136828,Kårebolsjön,Kårebolsjön,,,2018-09-13,,SLU,0.2,19.7,6.4
WA69577925,SE634178-156870,"Hornsjön, Klosterholmen","Hornsjön, Klosterholmen",,,2014-09-18,,SLU,,14.8,7.9
WA69577925,SE634178-156870,"Hornsjön, Klosterholmen","Hornsjön, Klosterholmen",,,2015-09-15,,SLU,0.3,14.9,8.3
WA69577925,SE634178-156870,"Hornsjön, Klosterholmen","Hornsjön, Klosterholmen",,,2017-05-12,,SLU,0.4,15.8,8.6
WA47162623,SE654423-141008,"Skagern, vid Rönningarna","Skagern, vid Rönningarna",,,2012-09-06,,SLU,,19.1,8.3
WA47162623,SE654423-141008,"Skagern, vid Rönningarna","Skagern, vid Rönningarna",,,2013-09-17,,SLU,,17.9,8
WA47162623,SE654423-141008,"Skagern, vid Rönningarna","Skagern, vid Rönningarna",,,2015-09-30,,SLU,0.3,19.4,8.3
WA47162623,SE654423-141008,"Skagern, vid Rönningarna","Skagern, vid Rönningarna",,,2018-09-10,,SLU,0.3,19.4,7.9
WA26842018,SE664851-141492,"Bredreven, vid Stärnfors","Bredreven, vid Stärnfors",,,2012-09-07,,SLU,,19.6,4.8
WA26842018,SE664851-141492,"Bredreven, vid Stärnfors","Bredreven, vid Stärnfors",,,2013-09-17,,SLU,,19.7,4.9
WA26842018,SE664851-141492,"Bredreven, vid Stärnfors","Bredreven, vid Stärnfors",,,2015-10-01,,SLU,0.3,19.8,8.6
WA26842018,SE664851-141492,"Bredreven, vid Stärnfors","Bredreven, vid Stärnfors",,,2018-09-13,,SLU,0.2,18.2,9
WA64829209,SE665359-140870,"Lesjön, norr om Lesjöfors","Lesjön, norr om Lesjöfors",,,2012-09-07,,SLU,,18.9,3.6
WA64829209,SE665359-140870,"Lesjön, norr om Lesjöfors","Lesjön, norr om Lesjöfors",,,2013-09-17,,SLU,,18.1,3.8
WA64829209,SE665359-140870,"Lesjön, norr om Lesjöfors","Lesjön, norr om Lesjöfors",,,2018-09-13,,SLU,0.2,17.8,3.8
WA93547968,SE659042-141414,"Ullvettern, norr om Granviken","Ullvettern, norr om Granviken",,,2012-09-06,,SLU,,18.6,8.1
WA93547968,SE659042-141414,"Ullvettern, norr om Granviken","Ullvettern, norr om Granviken",,,2013-09-17,,SLU,,16.8,7.6
WA93547968,SE659042-141414,"Ullvettern, norr om Granviken","Ullvettern, norr om Granviken",,,2015-09-30,,SLU,0.5,17.1,7
WA93547968,SE659042-141414,"Ullvettern, norr om Granviken","Ullvettern, norr om Granviken",,,2018-09-27,,SLU,0.5,16.5,7.5
WA44267087,SE659873-141137,"Öjevettern, nordväst om Släbråten","Öjevettern, nordväst om Släbråten",,,2012-09-06,,SLU,,19,7.4
WA44267087,SE659873-141137,"Öjevettern, nordväst om Släbråten","Öjevettern, nordväst om Släbråten",,,2013-09-17,,SLU,,19.1,8.2
WA44267087,SE659873-141137,"Öjevettern, nordväst om Släbråten","Öjevettern, nordväst om Släbråten",,,2015-09-30,,SLU,0.3,19,8
WA44267087,SE659873-141137,"Öjevettern, nordväst om Släbråten","Öjevettern, nordväst om Släbråten",,,2018-09-27,,SLU,0.4,19.1,8.2
WA40738943,SE660970-141402,"Östersjön, vid Riddarnäset","Östersjön, vid Riddarnäset",,,2015-10-01,,SLU,0.5,19.6,8
WA40738943,SE660970-141402,"Östersjön, vid Riddarnäset","Östersjön, vid Riddarnäset",,,2018-09-27,,SLU,0.5,18.8,7.3
WA15965992,SE661672-141024,"Daglösen centrala, vid Påland","Daglösen centrala, vid Påland",,,2012-09-07,,SLU,,19.8,7.7
WA15965992,SE661672-141024,"Daglösen centrala, vid Påland","Daglösen centrala, vid Påland",,,2013-09-17,,SLU,,19.6,8
WA15965992,SE661672-141024,"Daglösen centrala, vid Påland","Daglösen centrala, vid Påland",,,2015-10-01,,SLU,0.4,19.6,7.9
WA15965992,SE661672-141024,"Daglösen centrala, vid Påland","Daglösen centrala, vid Påland",,,2018-09-13,,SLU,0.4,19.2,7.3
WA15965992,SE662024-140890,"Daglösen norra, vid Stensta","Daglösen norra, vid Stensta",,,2012-09-07,,SLU,,19.4,7.7
WA15965992,SE662024-140890,"Daglösen norra, vid Stensta","Daglösen norra, vid Stensta",,,2013-09-17,,SLU,,19.7,8.2
WA15965992,SE662024-140890,"Daglösen norra, vid Stensta","Daglösen norra, vid Stensta",,,2015-10-01,,SLU,0.4,19.3,7.1
WA15965992,SE662024-140890,"Daglösen norra, vid Stensta","Daglösen norra, vid Stensta",,,2018-09-13,,SLU,0.4,19.6,7.6
WA53309041,SE662406-140741,"Lersjön, badplats sydväst om Finnhyttan","Lersjön, badplats sydväst om Finnhyttan",,,2013-09-17,,SLU,,19.1,6.9
WA53309041,SE662406-140741,"Lersjön, badplats sydväst om Finnhyttan","Lersjön, badplats sydväst om Finnhyttan",,,2015-10-01,,SLU,0.3,19.5,6
WA53309041,SE662406-140741,"Lersjön, badplats sydväst om Finnhyttan","Lersjön, badplats sydväst om Finnhyttan",,,2018-09-13,,SLU,0.3,19.6,7.9
,,"Skarvnäsviken, Sparreholm","Skarvnäsviken, Sparreholm",,,2015-08-18,,SLU,0.9,14.7,7.8
WA81172707,SE652852-155412,"Långhalsen, Tärnö bro","Långhalsen, Tärnö bro",,,2012-08-22,,SLU,,14,8.5
WA81172707,SE652852-155412,"Långhalsen, Tärnö bro","Långhalsen, Tärnö bro",,,2015-08-19,,SLU,1.3,14.1,8.7
WA53727092,SE658098-134831,"Vänern, Åsfjorden Bärholmen","Vänern, Åsfjorden Bärholmen",,,2012-09-03,,SLU,,19,9
WA53727092,SE658098-134831,"Vänern, Åsfjorden Bärholmen","Vänern, Åsfjorden Bärholmen",,,2015-09-02,,SLU,0.3,18.8,8.3
WA77080578,SE657929-136392,"Vänern, Kattfjorden Klubbarna","Vänern, Kattfjorden Klubbarna",,,2012-09-03,,SLU,,19,7.9
WA77080578,SE657929-136392,"Vänern, Kattfjorden Klubbarna","Vänern, Kattfjorden Klubbarna",,,2015-09-01,,SLU,0.3,18.3,8
WA77080578,SE657501-139136,"Vänern, Långön-Kristinehamn","Vänern, Långön-Kristinehamn",,,2012-09-05,,SLU,,17.9,8.4
WA77080578,SE657501-139136,"Vänern, Långön-Kristinehamn","Vänern, Långön-Kristinehamn",,,2015-08-31,,SLU,0.2,18.4,8.4
WA94081822,SE655082-140014,"Vänern, Kilsviken sydväst","Vänern, Kilsviken sydväst",,,2012-09-06,,SLU,,18.9,5.1
WA94081822,SE655082-140014,"Vänern, Kilsviken sydväst","Vänern, Kilsviken sydväst",,,2015-09-30,,SLU,0.3,18.2,5.4
WA53851513,SE655025-140381,"Vänern, Kolstrandviken väst","Vänern, Kolstrandviken väst",,,2012-09-06,,SLU,,19.6,6.3
WA53851513,SE655025-140381,"Vänern, Kolstrandviken väst","Vänern, Kolstrandviken väst",,,2015-09-30,,SLU,0.4,19.3,5.7
,SE654313-155983,"Båven, Oxbro","Båven, Oxbro",,,2014-08-19,,SLU,0.25,14.1,7.6
,,Djulösjön,Djulösjön,,,2016-08-09,,SLU,0.9,15.7,7.8
,,Trönsjön,Trönsjön,,,2013-08-13,,SLU,,19.6,6.8
,,Trönsjön,Trönsjön,,,2014-08-12,,SLU,,19.7,6.6
,,Brosjön,Brosjön,,,2017-08-21,,SLU,0.3,16.6,7.7
,,"Vänern, Åmålsviken","Vänern, Åmålsviken",,,2012-09-12,,SLU,,18.7,8
,,"Östersjön, vid Riddarnäset","Östersjön, vid Riddarnäset",,,2012-09-06,,SLU,,19.5,8.1
,,"Östersjön, vid Riddarnäset","Östersjön, vid Riddarnäset",,,2013-09-17,,SLU,,19.2,8.1
,,"Lersjön, badplats SV Finnshyttan","Lersjön, badplats SV Finnshyttan",,,2012-09-07,,SLU,,19.6,6.5
,,"Sundstadstjärn, södra delen","Sundstadstjärn, södra delen",,,2012-08-22,,SLU,,17.9,7.2
,,"Sundstadstjärn, södra delen","Sundstadstjärn, södra delen",,,2013-08-30,,SLU,,18.4,6.6
,,"Övre Fryken, Stöpafors","Övre Fryken, Stöpafors",,,2012-08-23,,SLU,,18.8,7.1
,,"Övre Fryken, Bryggegården (ref.)","Övre Fryken, Bryggegården (ref.)",,,2012-08-23,,SLU,,19,7.8
,,"Storsjön, norr om Edsbruk","Storsjön, norr om Edsbruk",,,2014-09-30,,SLU,,17.4,8.4
,,"Garnsviken, Sundtorpsvägen 50","Garnsviken, Sundtorpsvägen 50",,,2014-08-11,,SLU,,14.6,8.7
,,Norrviken,Norrviken,,,2014-08-19,,SLU,,13.9,6.8
,,"Orlången, Karlborg","Orlången, Karlborg",,,2014-08-26,,SLU,,14.3,7.5
WA15383399,SE656668-159332,Turingen,Turingen,,,2017-08-14,,SLU,0.3,18.2,8.9
,,Laurajärvi,Laurajärvi,,,2016-08-18,,SLU,,19.2,6
,,Laurajärvi,Laurajärvi,,,2017-08-22,,SLU,,19,6.6
,,Sakajärvi,Sakajärvi,,,2017-08-22,,SLU,,17.8,5.6
,,Siktträsket,Siktträsket,,,2017-08-23,,SLU,,18.6,5.7
,,"Båven, Oxbro","Båven, Oxbro",,,2017-08-22,,SLU,3,14.2,8.1
,,"Tullan, badudden","Tullan, badudden",,,2017-08-24,,SLU,0.4,14.4,8.9
,,"Tullan, badudden","Tullan, badudden",,,2018-08-15,,SLU,0.4,14,7.7
WA33104800,SE656842-161442,"Aspen, Lindhov","Aspen, Lindhov",,,2017-08-10,,SLU,0.9,15.9,8.1
,,Juopmavaarabäcken,Juopmavaarabäcken,,,2018-09-05,,SLU,,19.1,7.6
,,"Tisnare kanal, Tisnarbro","Tisnare kanal, Tisnarbro",,,2014-08-18,,SLU,0.5,17.4,7.4
